Zip_Code,Median_Income
77545,80873
77546,106287
77578,92487
77581,92687
77583,78808
77584,107995
77520,50461
77521,72665
77535,54638
77053,50368
77083,54425
77085,57167
77099,40802
77407,101612
77417,44474
77450,96526
77459,112368
77461,73952
77469,81374
77471,52764
77477,59910
77478,92327
77479,140394
77489,68646
77493,90861
77494,135943
77002,71369
77003,72295
77004,51309
77005,192380
77006,85956
77007,125653
77008,108644
77009,56316
77010,250000
77011,31314
77012,39489
77013,38665
77014,50938
77015,47371
77016,36335
77017,49994
77018,90422
77019,116207
77020,32207
77021,37913
77022,31183
77023,41583
77024,123274
77025,76772
77026,28678
77027,98463
77028,29014
77029,38183
77030,90075
77031,48029
77032,32473
77033,38162
77034,51608
77035,44382
77036,30952
77037,43180
77038,41052
77039,36769
77040,59453
77041,87489
77042,49726
77043,64810
77044,80503
77045,57843
77046,87891
77047,67725
77048,41300
77049,62994
77050,48500
77051,30646
77054,50827
77055,55591
77056,108359
77057,62644
77058,55035
77059,139163
77060,31006
77061,41980
77062,95564
77063,46324
77064,71754
77065,57370
77066,61930
77067,43282
77068,83803
77069,67470
77070,66569
77071,48532
77072,41228
77073,50931
77074,42776
77075,54819
77076,38346
77077,65193
77078,40298
77079,91375
77080,48547
77081,33502
77082,51943
77084,64133
77086,48211
77087,39800
77088,42489
77089,69617
77090,39808
77091,36098
77092,39536
77093,31301
77094,178354
77095,92225
77096,65608
77098,91138
77336,68596
77338,56638
77339,75080
77345,137519
77346,104829
77357,62321
77365,79320
77373,71424
77375,78164
77377,96994
77379,103359
77386,114665
77388,93290
77389,126473
77396,69208
77401,193950
77429,107033
77433,112468
77449,78112
77484,64846
77502,52081
77504,48455
77505,82628
77506,41804
77530,61149
77532,67824
77547,46176
77562,59792
77587,45241
77598,56809
77539,75664
77551,49789
77554,75283
77573,111609
77590,46992
77380,73457
77385,95126
